PRES,Date/Time,Exact Time [ns]
"104,106,143,102,104,104",2025-05-02 16:31:19.705285,4508458660107
"104,104,139,102,104,104",2025-05-02 16:31:20.705728,4509459089236
"104,104,130,103,104,104",2025-05-02 16:31:21.706113,4510459474624
"104,104,140,102,104,104",2025-05-02 16:31:22.706505,4511459867957
"105,104,136,102,104,104",2025-05-02 16:31:23.706936,4512460295586
"104,104,119,103,103,104",2025-05-02 16:31:24.707278,4513460638567
"105,104,122,102,104,105",2025-05-02 16:31:25.707631,4514460992752
"105,104,121,103,104,104",2025-05-02 16:31:26.707976,4515461337584
"105,104,118,103,104,104",2025-05-02 16:31:27.708328,4516461689213
"105,104,112,103,105,104",2025-05-02 16:31:28.708678,4517462038916
"105,104,116,103,104,104",2025-05-02 16:31:29.709034,4518462394471
"105,104,116,103,104,104",2025-05-02 16:31:30.709442,4519462802971
"105,104,111,103,104,104",2025-05-02 16:31:31.709808,4520463168767
"104,104,114,102,105,104",2025-05-02 16:31:32.710160,4521463520562
"105,104,111,103,104,104",2025-05-02 16:31:33.710522,4522463884469
"105,104,114,103,104,104",2025-05-02 16:31:34.710897,4523464257005
"105,104,115,103,104,104",2025-05-02 16:31:35.711247,4524464608505
"105,104,117,103,105,104",2025-05-02 16:31:36.711601,4525464962912
"105,104,114,103,104,104",2025-05-02 16:31:37.711958,4526465318763
"105,103,116,103,105,104",2025-05-02 16:31:38.712309,4527465670892
"105,104,116,102,104,104",2025-05-02 16:31:39.712652,4528466012577
"105,104,118,104,104,104",2025-05-02 16:31:40.713006,4529466367243
"104,103,116,102,104,104",2025-05-02 16:31:41.713363,4530466724983
"105,104,117,104,104,104",2025-05-02 16:31:42.713719,4531467080538
"105,103,120,103,104,104",2025-05-02 16:31:43.714118,4532467480241
"105,104,114,103,104,104",2025-05-02 16:31:44.714473,4533467833333
"105,104,119,103,104,104",2025-05-02 16:31:45.714843,4534468204017
"104,104,118,103,104,104",2025-05-02 16:31:46.715198,4535468559554
"104,104,119,103,104,102",2025-05-02 16:31:47.715553,4536468914720
"104,104,119,103,104,104",2025-05-02 16:31:48.715915,4537469298442
"105,104,114,103,104,104",2025-05-02 16:31:49.716293,4538469654552
"105,104,121,103,104,104",2025-05-02 16:31:50.716647,4539470008366
"105,104,119,103,104,104",2025-05-02 16:31:51.716994,4540470355606
"105,103,119,103,104,104",2025-05-02 16:31:52.717332,4541470693050
,2025-05-02 16:31:53.718832,4542472194624
"105,104,119,102,104,105",2025-05-02 16:31:54.719218,4543472579179
"104,104,119,103,104,105",2025-05-02 16:31:55.719565,4544472925715
"105,103,119,102,104,104",2025-05-02 16:31:56.719909,4545473269659
"104,103,114,103,104,104",2025-05-02 16:31:57.720265,4546473628010
"105,104,119,103,104,104",2025-05-02 16:31:58.720647,4547474007936
"105,104,118,102,104,104",2025-05-02 16:31:59.721028,4548474389879
"104,104,119,103,104,104",2025-05-02 16:32:00.721388,4549474747953
"104,104,118,103,104,104",2025-05-02 16:32:01.721780,4550475141526
"105,104,118,103,104,104",2025-05-02 16:32:02.722146,4551475506452
"105,104,113,99,104,105",2025-05-02 16:32:03.722507,4552475867710
"105,104,118,103,104,104",2025-05-02 16:32:04.723199,4553476560969
"105,104,119,101,104,104",2025-05-02 16:32:05.723570,4554476932320
"105,105,118,102,104,104",2025-05-02 16:32:06.723943,4555477304931
"105,104,117,103,104,104",2025-05-02 16:32:07.724324,4556477686041
"105,104,118,100,106,104",2025-05-02 16:32:08.724935,4557478295763
"105,104,112,103,104,104",2025-05-02 16:32:09.725530,4558478890392
"104,104,117,103,104,104",2025-05-02 16:32:10.726168,4559479528540
"105,104,117,103,104,103",2025-05-02 16:32:11.726795,4560480157354
"105,102,118,102,105,104",2025-05-02 16:32:12.727401,4561480763649
"105,105,118,102,104,104",2025-05-02 16:32:13.728014,4562481375982
"105,104,122,101,104,105",2025-05-02 16:32:14.728617,4563481978148
"105,105,122,103,105,105",2025-05-02 16:32:15.729238,4564482599388
"105,104,124,103,104,104",2025-05-02 16:32:16.729613,4565482974129
"105,104,116,103,104,105",2025-05-02 16:32:17.729966,4566483327184
"105,104,129,103,104,104",2025-05-02 16:32:18.730320,4567483680905
"104,104,128,103,104,105",2025-05-02 16:32:19.730701,4568484061868
"105,104,121,103,104,104",2025-05-02 16:32:20.731142,4569484502830
"104,103,130,102,104,104",2025-05-02 16:32:21.731755,4570485116922
"105,104,130,103,104,105",2025-05-02 16:32:22.732346,4571485706718
"105,104,130,103,104,104",2025-05-02 16:32:23.732700,4572486059791
"104,104,129,102,104,104",2025-05-02 16:32:24.733045,4573486406642
"105,104,130,102,104,104",2025-05-02 16:32:25.733764,4574487124975
"104,104,131,102,104,105",2025-05-02 16:32:26.734469,4575487830215
"104,104,135,103,104,105",2025-05-02 16:32:27.735194,4576488555492
"104,105,129,103,104,103",2025-05-02 16:32:28.735892,4577489253436
"104,104,118,103,104,104",2025-05-02 16:32:29.736272,4578489632917
"104,104,124,103,104,104",2025-05-02 16:32:30.736903,4579490264602
"105,104,126,102,104,104",2025-05-02 16:32:31.737246,4580490606990
"105,105,126,102,104,104",2025-05-02 16:32:32.738254,4581491616415
"105,105,134,103,104,104",2025-05-02 16:32:33.739223,4582492586304
"105,105,142,102,104,103",2025-05-02 16:32:34.739831,4583493193840
,2025-05-02 16:32:35.741623,4584494985525
"104,104,130,102,104,105",2025-05-02 16:32:36.742394,4585495757172
"105,104,144,102,104,104",2025-05-02 16:32:37.743101,4586496463486
"105,104,143,104,104,104",2025-05-02 16:32:38.743804,4587497166504
"105,105,145,103,104,104",2025-05-02 16:32:39.744632,4588498001411
"105,105,144,103,104,104",2025-05-02 16:32:40.745181,4589498542911
"104,105,141,101,104,104",2025-05-02 16:32:41.746167,4590499548169
"105,104,142,102,104,104",2025-05-02 16:32:42.746807,4591500170391
"105,104,139,103,104,104",2025-05-02 16:32:43.747233,4592500593557
"105,104,136,103,104,104",2025-05-02 16:32:44.748430,4593501794519
"104,105,127,103,105,105",2025-05-02 16:32:45.748941,4594502306019
"106,105,137,103,104,104",2025-05-02 16:32:46.749389,4595502753944
"104,104,137,103,104,103",2025-05-02 16:32:47.750463,4596503824647
"104,104,138,104,105,104",2025-05-02 16:32:48.751100,4597504458924
"105,104,137,103,104,104",2025-05-02 16:32:49.754545,4598507919664
"105,104,138,103,104,105",2025-05-02 16:32:50.755563,4599508923553
"105,105,138,103,104,104",2025-05-02 16:32:51.757082,4600510445571
"105,104,140,103,104,104",2025-05-02 16:32:52.757716,4601511076922
"105,104,142,103,104,104",2025-05-02 16:32:53.758088,4602511450829
"105,104,144,102,104,104",2025-05-02 16:32:54.758438,4603511799106
"105,105,144,102,104,103",2025-05-02 16:32:55.758796,4604512156642
"105,104,145,103,104,105",2025-05-02 16:32:56.759141,4605512500994
"105,104,145,103,106,104",2025-05-02 16:32:57.759464,4606512824104
"105,104,133,102,104,104",2025-05-02 16:32:58.759766,4607513124178
"105,104,145,102,105,104",2025-05-02 16:32:59.760174,4608513536881
"105,105,137,102,104,103",2025-05-02 16:33:00.760713,4609514082417
"105,105,145,102,104,104",2025-05-02 16:33:01.761164,4610514528213
"105,104,134,102,104,103",2025-05-02 16:33:02.761604,4611514968305
"105,105,145,102,104,104",2025-05-02 16:33:03.762059,4612515422915
"105,104,146,103,105,105",2025-05-02 16:33:04.766216,4613519580322
"105,104,147,102,104,105",2025-05-02 16:33:05.766639,4614520013766
"105,105,144,102,104,105",2025-05-02 16:33:06.767073,4615520436969
"104,105,131,102,103,104",2025-05-02 16:33:07.767501,4616520865154
"104,105,133,103,104,105",2025-05-02 16:33:08.767917,4617521280042
"105,105,145,103,104,104",2025-05-02 16:33:09.768369,4618521732504
"105,105,150,102,104,104",2025-05-02 16:33:10.768855,4619522219652
"105,104,153,102,104,104",2025-05-02 16:33:11.769302,4620522665003
"105,105,151,102,104,103",2025-05-02 16:33:12.769735,4621523099299
"105,104,146,102,105,104",2025-05-02 16:33:13.770171,4622523535298
"105,105,150,102,104,104",2025-05-02 16:33:14.770621,4623523984557
"105,105,149,103,104,106",2025-05-02 16:33:15.771094,4624524458853
"105,105,138,103,104,104",2025-05-02 16:33:16.771510,4625524873611
,2025-05-02 16:33:17.773394,4626526757222
"105,105,162,102,104,104",2025-05-02 16:33:18.773803,4627527166073
"104,104,161,104,104,105",2025-05-02 16:33:19.774494,4628527856498
"105,104,156,103,104,104",2025-05-02 16:33:20.774943,4629528305479
"105,105,158,104,104,105",2025-05-02 16:33:21.775406,4630528770034
"106,105,161,99,104,103",2025-05-02 16:33:22.775828,4631529189886
"105,105,160,103,104,104",2025-05-02 16:33:23.776258,4632529621589
"104,104,152,102,104,105",2025-05-02 16:33:24.776685,4633530048292
"105,105,138,103,104,104",2025-05-02 16:33:25.777097,4634530459180
"105,105,157,103,104,103",2025-05-02 16:33:26.777507,4635530870309
"104,105,143,102,104,104",2025-05-02 16:33:27.777973,4636531336531
"105,105,151,103,103,104",2025-05-02 16:33:28.778386,4637531748512
"105,104,157,103,104,104",2025-05-02 16:33:29.778841,4638532204085
"105,105,149,101,104,104",2025-05-02 16:33:30.779275,4639532638233
"105,105,149,103,104,104",2025-05-02 16:33:31.779702,4640533064991
"105,104,118,102,103,103",2025-05-02 16:33:32.780118,4641533481768
"105,103,127,102,103,104",2025-05-02 16:33:33.780540,4642533903009
"104,104,120,103,104,103",2025-05-02 16:33:34.780959,4643534320786
"105,104,135,103,104,105",2025-05-02 16:33:35.781374,4644534737581
"106,104,139,103,104,103",2025-05-02 16:33:36.781835,4645535198562
"104,104,123,103,104,104",2025-05-02 16:33:37.782255,4646535617932
"105,105,131,103,104,104",2025-05-02 16:33:38.782679,4647536041802
"105,104,126,102,103,103",2025-05-02 16:33:39.783079,4648536441857
"105,106,117,103,104,104",2025-05-02 16:33:40.783478,4649536840801
"105,104,122,103,104,104",2025-05-02 16:33:41.783869,4650537230856
"105,105,121,103,104,104",2025-05-02 16:33:42.784230,4651537591522
"105,105,120,103,104,104",2025-05-02 16:33:43.784605,4652537965762
"105,105,116,103,104,104",2025-05-02 16:33:44.785024,4653538385039
"103,105,117,103,104,105",2025-05-02 16:33:45.785610,4654538969576
"104,105,115,104,104,104",2025-05-02 16:33:46.785974,4655539336464
"105,105,110,103,104,104",2025-05-02 16:33:47.786401,4656539763445
"105,105,109,103,104,104",2025-05-02 16:33:48.786785,4657540145963
"104,105,112,102,104,104",2025-05-02 16:33:49.787148,4658540508888
"105,104,112,104,104,103",2025-05-02 16:33:50.787489,4659540849202
"104,105,115,103,104,105",2025-05-02 16:33:51.787812,4660541174090
"105,105,124,103,104,104",2025-05-02 16:33:52.788124,4661541482201
"105,104,139,103,105,104",2025-05-02 16:33:53.788527,4662541890626
"104,104,143,103,104,104",2025-05-02 16:33:54.789066,4663542430996
"105,104,146,102,104,104",2025-05-02 16:33:55.790057,4664543417736
"105,104,122,103,104,103",2025-05-02 16:33:56.791138,4665544499106
"105,104,125,103,104,104",2025-05-02 16:33:57.791804,4666545165828
"105,105,119,104,104,104",2025-05-02 16:33:58.792435,4667545797086
,2025-05-02 16:33:59.794150,4668547513104
"106,105,119,103,104,104",2025-05-02 16:34:00.795048,4669548410807
"105,105,119,103,104,104",2025-05-02 16:34:01.795480,4670548842770
"105,105,119,103,104,104",2025-05-02 16:34:02.795954,4671549318621
"107,104,120,103,104,105",2025-05-02 16:34:03.796439,4672549802176
"105,104,114,103,104,104",2025-05-02 16:34:04.796911,4673550275360
"105,107,116,103,104,104",2025-05-02 16:34:05.797386,4674550749378
"104,105,112,102,104,104",2025-05-02 16:34:06.797871,4675551235415
"105,105,120,103,104,104",2025-05-02 16:34:07.798350,4676551712840
"104,105,122,104,104,104",2025-05-02 16:34:08.798913,4677552276525
"105,105,126,103,104,106",2025-05-02 16:34:09.799389,4678552753469
"105,104,115,103,104,103",2025-05-02 16:34:10.799877,4679553240949
"105,105,113,104,105,105",2025-05-02 16:34:11.800388,4680553751449
"105,105,115,103,104,104",2025-05-02 16:34:12.800861,4681554223559
"105,104,113,103,104,102",2025-05-02 16:34:13.801340,4682554703837
"105,105,115,104,104,105",2025-05-02 16:34:14.801875,4683555238929
"105,105,111,102,104,105",2025-05-02 16:34:15.802313,4684555675798
"105,105,114,103,105,105",2025-05-02 16:34:16.803103,4685556466705
"105,103,110,103,104,104",2025-05-02 16:34:17.803867,4686557231834
"105,105,111,103,104,104",2025-05-02 16:34:18.804375,4687557739593
"105,105,111,104,104,104",2025-05-02 16:34:19.804854,4688558217629
"104,105,112,103,105,105",2025-05-02 16:34:20.805347,4689558710462
"105,105,111,102,103,104",2025-05-02 16:34:21.805882,4690559244943
"105,106,108,103,104,104",2025-05-02 16:34:22.806313,4691559677405
"105,105,111,104,104,104",2025-05-02 16:34:23.807080,4692560441979
"104,105,110,103,104,104",2025-05-02 16:34:24.807816,4693561180941
"105,105,111,103,105,104",2025-05-02 16:34:25.808308,4694561671978
"105,105,109,103,103,103",2025-05-02 16:34:26.809051,4695562414051
"105,105,110,104,105,104",2025-05-02 16:34:27.809992,4696563355569
"105,105,110,105,104,103",2025-05-02 16:34:28.810438,4697563801642
"105,105,111,104,104,104",2025-05-02 16:34:29.811240,4698564603086
"104,106,109,104,104,103",2025-05-02 16:34:30.812009,4699565371845
"104,105,109,103,104,103",2025-05-02 16:34:31.812764,4700566127048
"105,106,109,104,104,104",2025-05-02 16:34:32.813501,4701566864455
"105,105,109,104,104,104",2025-05-02 16:34:33.814277,4702567640343
"105,105,108,104,104,104",2025-05-02 16:34:34.814994,4703568357528
"104,104,109,104,104,104",2025-05-02 16:34:35.815674,4704569037416
"104,105,110,105,104,104",2025-05-02 16:34:36.816388,4705569751471
"105,105,105,104,104,104",2025-05-02 16:34:37.817105,4706570468822
"105,105,107,103,105,104",2025-05-02 16:34:38.817834,4707571197340
"105,105,109,105,104,104",2025-05-02 16:34:39.818488,4708571850543
"104,104,109,103,104,105",2025-05-02 16:34:40.819518,4709572881839
,2025-05-02 16:34:41.821560,4710574924172
"105,105,108,104,104,105",2025-05-02 16:34:42.822032,4711575395134
"104,104,107,103,104,104",2025-05-02 16:34:43.822791,4712576154467
"105,105,109,103,104,104",2025-05-02 16:34:44.823266,4713576629818
"105,105,108,104,104,104",2025-05-02 16:34:45.823988,4714577351484
"105,104,108,104,105,104",2025-05-02 16:34:46.824715,4715578078243
"105,105,108,104,104,103",2025-05-02 16:34:47.825480,4716578843242
"105,105,108,104,104,104",2025-05-02 16:34:48.826204,4717579567945
"105,105,107,103,104,104",2025-05-02 16:34:49.826969,4718580332334
"105,105,108,103,104,104",2025-05-02 16:34:50.827693,4719581056370
"105,105,108,104,104,104",2025-05-02 16:34:51.828462,4720581825869
"105,105,106,103,104,104",2025-05-02 16:34:52.829222,4721582585554
"105,104,107,103,104,104",2025-05-02 16:34:53.829971,4722583335109
"105,104,108,104,104,103",2025-05-02 16:34:54.830756,4723584118683
"105,105,106,103,104,104",2025-05-02 16:34:55.831461,4724584825386
"105,105,109,104,104,105",2025-05-02 16:34:56.831932,4725585296274
"104,105,107,103,104,104",2025-05-02 16:34:57.832488,4726585852125
"105,105,107,104,104,104",2025-05-02 16:34:58.832974,4727586337588
"105,104,109,103,104,104",2025-05-02 16:34:59.833474,4728586837902
"107,105,110,102,104,104",2025-05-02 16:35:00.834218,4729587580864
"104,105,108,103,104,103",2025-05-02 16:35:01.834992,4730588355364
"105,105,108,103,104,104",2025-05-02 16:35:02.835752,4731589115993
"105,105,108,103,104,103",2025-05-02 16:35:03.836519,4732589881807
"105,105,111,103,104,104",2025-05-02 16:35:04.837276,4733590639584
"105,105,110,104,104,104",2025-05-02 16:35:05.837756,4734591119769
"104,105,111,103,104,104",2025-05-02 16:35:06.838470,4735591833342
"105,105,112,104,104,104",2025-05-02 16:35:07.839278,4736592642119
"105,105,115,103,104,105",2025-05-02 16:35:08.840028,4737593390933
"104,105,113,103,104,104",2025-05-02 16:35:09.840793,4738594155692
"105,105,111,102,104,104",2025-05-02 16:35:10.841562,4739594926099
"105,105,114,104,104,104",2025-05-02 16:35:11.842366,4740595728154
"105,104,113,104,104,104",2025-05-02 16:35:12.843183,4741596546227
"105,104,109,104,104,104",2025-05-02 16:35:13.843963,4742597326856
"105,105,110,103,104,104",2025-05-02 16:35:14.844767,4743598130393
"105,104,108,103,104,104",2025-05-02 16:35:15.845539,4744598902022
"106,105,110,104,104,104",2025-05-02 16:35:16.846281,4745599644206
"105,104,108,104,104,104",2025-05-02 16:35:17.847029,4746600393261
"106,104,109,104,104,104",2025-05-02 16:35:18.847844,4747601208224
"105,105,110,103,104,104",2025-05-02 16:35:19.848598,4748601962927
"105,105,111,103,104,104",2025-05-02 16:35:20.849307,4749602670889
"104,104,109,103,104,103",2025-05-02 16:35:21.850005,4750603367648
"105,105,110,104,104,104",2025-05-02 16:35:22.850893,4751604255610
,2025-05-02 16:35:23.852925,4752606288499
"105,105,109,103,104,104",2025-05-02 16:35:24.853684,4753607047072
"105,104,110,103,104,103",2025-05-02 16:35:25.854422,4754607785127
"105,105,107,103,105,104",2025-05-02 16:35:26.855228,4755608592312
"105,104,108,103,104,103",2025-05-02 16:35:27.856002,4756609364607
"102,105,108,103,104,104",2025-05-02 16:35:28.856748,4757610111903
"104,105,109,103,104,103",2025-05-02 16:35:29.857578,4758610940791
"105,105,109,103,104,104",2025-05-02 16:35:30.858363,4759611726531
"104,104,108,103,104,104",2025-05-02 16:35:31.859630,4760612994623
"105,104,110,103,105,104",2025-05-02 16:35:32.860087,4761613451864
"105,105,110,103,104,104",2025-05-02 16:35:33.860548,4762613912289
"105,104,110,104,104,104",2025-05-02 16:35:34.861014,4763614378196
"104,105,110,103,104,104",2025-05-02 16:35:35.861550,4764614913454
"105,105,110,103,104,104",2025-05-02 16:35:36.862036,4765615399991
"106,107,111,103,104,104",2025-05-02 16:35:37.862849,4766616213694
"104,105,111,103,104,104",2025-05-02 16:35:38.863315,4767616678804
"104,105,110,103,104,104",2025-05-02 16:35:39.864164,4768617528526
"105,105,111,103,104,104",2025-05-02 16:35:40.865022,4769618386729
"105,104,110,104,104,104",2025-05-02 16:35:41.865815,4770619178617
"105,105,111,103,104,104",2025-05-02 16:35:42.866273,4771619637043
"105,105,111,103,104,104",2025-05-02 16:35:43.866777,4772620141524
"105,105,110,103,104,104",2025-05-02 16:35:44.867803,4773621175338
"105,105,111,103,104,104",2025-05-02 16:35:45.868492,4774621855171
"105,105,112,102,104,104",2025-05-02 16:35:46.869218,4775622581540
"105,105,112,103,104,104",2025-05-02 16:35:47.870032,4776623395540
"105,105,111,103,104,104",2025-05-02 16:35:48.870812,4777624175817
"105,105,111,103,105,104",2025-05-02 16:35:49.871612,4778624976446
"105,104,111,103,104,104",2025-05-02 16:35:50.872399,4779625763705
"105,104,114,103,105,104",2025-05-02 16:35:51.873200,4780626564371
"105,105,111,102,104,104",2025-05-02 16:35:52.873948,4781627312741
"105,106,110,103,104,104",2025-05-02 16:35:53.874525,4782627888629
"105,104,112,103,105,104",2025-05-02 16:35:54.875683,4783629046036
"105,102,108,103,104,103",2025-05-02 16:35:55.876490,4784629852813
"105,105,111,103,104,104",2025-05-02 16:35:56.877047,4785630412664
"104,104,112,103,104,104",2025-05-02 16:35:57.877851,4786631215423
"105,106,109,102,104,104",2025-05-02 16:35:58.878374,4787631737959
"105,106,109,102,104,104",2025-05-02 16:35:59.879125,4788632487644
"106,106,108,103,104,104",2025-05-02 16:36:00.879941,4789633304791
"104,105,111,103,104,104",2025-05-02 16:36:01.880754,4790634118365
"105,104,113,103,104,105",2025-05-02 16:36:02.881538,4791634901994
"105,105,112,102,104,104",2025-05-02 16:36:03.882009,4792635373438
"105,105,110,103,103,104",2025-05-02 16:36:04.882713,4793636076641
,2025-05-02 16:36:05.884557,4794637920807
"106,106,110,104,104,104",2025-05-02 16:36:06.885330,4795638694436
"105,105,109,102,104,105",2025-05-02 16:36:07.886165,4796639529935
"105,106,112,103,104,104",2025-05-02 16:36:08.886720,4797640084416
"105,105,111,103,106,104",2025-05-02 16:36:09.887446,4798640809953
"105,105,113,101,104,104",2025-05-02 16:36:10.887943,4799641307045
"105,105,109,103,104,103",2025-05-02 16:36:11.888876,4800642240766
"105,106,111,103,104,103",2025-05-02 16:36:12.889364,4801642740988
"104,104,110,102,104,104",2025-05-02 16:36:13.889989,4802643351728
"105,104,110,102,104,104",2025-05-02 16:36:14.891073,4803644444561
"105,105,110,104,104,104",2025-05-02 16:36:15.892802,4804646172819
"106,105,110,103,104,105",2025-05-02 16:36:16.893671,4805647033874
"105,106,112,103,104,104",2025-05-02 16:36:17.894107,4806647472040
"104,105,111,103,104,104",2025-05-02 16:36:18.894638,4807648050744
"106,105,111,103,104,104",2025-05-02 16:36:19.895486,4808648849873
"105,104,108,103,104,103",2025-05-02 16:36:20.896240,4809649605131
"105,105,109,103,104,104",2025-05-02 16:36:21.896994,4810650359427
"105,105,111,103,104,104",2025-05-02 16:36:22.897821,4811651185667
"105,104,108,102,104,104",2025-05-02 16:36:23.898668,4812652033074
"105,105,108,103,105,105",2025-05-02 16:36:24.899455,4813652819314
"104,106,110,102,104,104",2025-05-02 16:36:25.900249,4814653613443
"105,105,110,103,104,104",2025-05-02 16:36:26.901035,4815654398072
"105,105,111,103,104,105",2025-05-02 16:36:27.901852,4816655217164
"105,104,110,104,104,104",2025-05-02 16:36:28.902684,4817656048071
"103,105,115,103,104,104",2025-05-02 16:36:29.903488,4818656853274
"105,105,111,104,104,105",2025-05-02 16:36:30.904343,4819657707292
"105,105,110,103,104,104",2025-05-02 16:36:31.905194,4820658558847
"105,105,111,103,104,105",2025-05-02 16:36:32.905980,4821659344531
"105,108,110,104,104,104",2025-05-02 16:36:33.906760,4822660124142
"105,105,107,103,104,103",2025-05-02 16:36:34.907536,4823660900456
"104,101,110,103,104,104",2025-05-02 16:36:35.908323,4824661687085
"105,106,109,103,104,105",2025-05-02 16:36:36.909110,4825662473585
"105,105,110,103,104,104",2025-05-02 16:36:37.909901,4826663264491
"105,104,109,103,104,105",2025-05-02 16:36:38.910669,4827664032917
"104,105,110,103,104,104",2025-05-02 16:36:39.911452,4828664814842
"105,105,110,104,104,105",2025-05-02 16:36:40.912224,4829665586730
"105,105,109,103,104,103",2025-05-02 16:36:41.912984,4830666346804
"105,104,107,102,104,104",2025-05-02 16:36:42.913749,4831667113155
"106,105,109,103,104,104",2025-05-02 16:36:43.914212,4832667575692
"104,105,110,103,104,103",2025-05-02 16:36:44.914998,4833668361561
"105,105,109,104,104,104",2025-05-02 16:36:45.915462,4834668825098
"105,105,109,102,104,105",2025-05-02 16:36:46.915932,4835669295264
,2025-05-02 16:36:47.917981,4836671344541
"105,105,108,103,104,103",2025-05-02 16:36:48.918459,4837671823207
"103,104,108,103,104,104",2025-05-02 16:36:49.918905,4838672268169
"105,105,108,103,104,105",2025-05-02 16:36:50.919627,4839672990687
"104,105,107,103,104,103",2025-05-02 16:36:51.920149,4840673512687
"105,105,109,103,106,104",2025-05-02 16:36:52.920686,4841674050723
"105,105,108,103,104,105",2025-05-02 16:36:53.921466,4842674830445
"104,104,106,103,104,104",2025-05-02 16:36:54.921920,4843675284055
"105,105,107,102,104,104",2025-05-02 16:36:55.922389,4844675752092
"104,105,107,103,103,105",2025-05-02 16:36:56.922881,4845676245332
"104,105,109,103,104,105",2025-05-02 16:36:57.923631,4846676994831
"104,106,108,104,104,105",2025-05-02 16:36:58.924174,4847677538664
"104,105,107,103,104,104",2025-05-02 16:36:59.925136,4848678500386
"105,104,108,103,104,104",2025-05-02 16:37:00.926494,4849679857959
"105,105,108,103,104,105",2025-05-02 16:37:01.927312,4850680676977
