TEMP,Date/Time,Exact Time [ns]
22.048,2025-05-02 16:31:19.682446,4508435830551
22.043,2025-05-02 16:31:20.683055,4509436419347
22.039,2025-05-02 16:31:21.683567,4510436931069
22.034,2025-05-02 16:31:22.684092,4511437455753
22.03,2025-05-02 16:31:23.684933,4512438297068
22.025,2025-05-02 16:31:24.685760,4513439123789
22.021,2025-05-02 16:31:25.686510,4514439873844
22.017,2025-05-02 16:31:26.687240,4515440604936
22.013,2025-05-02 16:31:27.688274,4516441637991
22.009,2025-05-02 16:31:28.688729,4517442093639
22.006,2025-05-02 16:31:29.689188,4518442552712
22.002,2025-05-02 16:31:30.689647,4519443011212
21.998,2025-05-02 16:31:31.690993,4520444356970
21.994,2025-05-02 16:31:32.691988,4521445352525
21.991,2025-05-02 16:31:33.693029,4522446393839
21.988,2025-05-02 16:31:34.693551,4523446916098
21.985,2025-05-02 16:31:35.694353,4524447717283
21.981,2025-05-02 16:31:36.695185,4525448547986
21.978,2025-05-02 16:31:37.695755,4526449130226
21.974,2025-05-02 16:31:38.697069,4527450431725
21.969,2025-05-02 16:31:39.697963,4528451327114
21.964,2025-05-02 16:31:40.698469,4529451832780
21.957,2025-05-02 16:31:41.698933,4530452297187
21.95,2025-05-02 16:31:42.699386,4531452750371
21.942,2025-05-02 16:31:43.699869,4532453233389
21.935,2025-05-02 16:31:44.700334,4533453698148
21.927,2025-05-02 16:31:45.701115,4534454478869
21.919,2025-05-02 16:31:46.702151,4535455515646
21.911,2025-05-02 16:31:47.702634,4536455997442
21.904,2025-05-02 16:31:48.703145,4537456508553
21.899,2025-05-02 16:31:49.703884,4538457247608
21.893,2025-05-02 16:31:50.704351,4539457714774
21.888,2025-05-02 16:31:51.704781,4540458144088
21.885,2025-05-02 16:31:52.705225,4541458588402
21.881,2025-05-02 16:31:53.705694,4542459058383
21.877,2025-05-02 16:31:54.706152,4543459516234
21.875,2025-05-02 16:31:55.706675,4544460038734
21.872,2025-05-02 16:31:56.707131,4545460494715
21.871,2025-05-02 16:31:57.708214,4546461579010
21.87,2025-05-02 16:31:58.708672,4547462035362
21.869,2025-05-02 16:31:59.709139,4548462501417
21.868,2025-05-02 16:32:00.709854,4549463217953
21.868,2025-05-02 16:32:01.710318,4550463682323
21.868,2025-05-02 16:32:02.711105,4551464468785
21.868,2025-05-02 16:32:03.711875,4552465238562
21.869,2025-05-02 16:32:04.712652,4553466016006
21.869,2025-05-02 16:32:05.713531,4554466895061
21.87,2025-05-02 16:32:06.714350,4555467713616
21.87,2025-05-02 16:32:07.714824,4556468188504
21.871,2025-05-02 16:32:08.715548,4557468911448
21.872,2025-05-02 16:32:09.716310,4558469674133
21.874,2025-05-02 16:32:10.717013,4559470377466
21.876,2025-05-02 16:32:11.717771,4560471134243
